English150Char	Finnish150Char	VosaTevos150Char
Every unemployed worker or one under threat of unemployment should find a field to focus on and specialize in.	R Jokaiselle työttömälle tai työttömyysuhan alla olevalle työntekijälle pitäisi löytää ala, johon keskittyy, erikoistuu.	G Tu ki töafejjo taj al töafejsta obrisk oova tööjo piitif kees leiob, kointu autmiid, erlii.
R If prosperity could be distributed more evenly and people gave up unnecessary consumption, 	R Jos hyvinvointi voidaan jakaa tasaisemmin ja ihmiset luopuvat turhasta kulutuksesta, 	G If halivoote voota ikfaa talpirli a mämsi ofuur nidejva teroriipte, 
people could get by with lower incomes and the environment would be saved.	ihmiset voisivat tulla toimeen pienemmillä tuloilla ja ympäristö säästyisi.	mämsi vooif voviotee vy ippir utrovsi a raulo autropaooif.
R Flexible in wages, higher income in good times, lower income in bad times to preserve jobs.	R Joustaa palkkauksessa hyvinä aikoina suuremmat tulot, huonoina aikoina pienemmät tulot työpaikkojen säilyttämiseksi.	G Joos in töroovte na hali nosi pipir utrovsi, na ahvova nona ippir utrovsi for tölosi palienoote.
R Systematic, well-organized progress speeds up the process.	R Järjestelmällinen hyvin organisoitu eteneminen nopeuttaa asioiden eteenpäin viemistä.	G Lijärva hali sijäären edtuute noppiir in sosi eddir gaate.
R Systematically map out from a needs perspective what products and services could still be available and which ones need improvement.	R Järjestelmällisesti kartoittaa tarpeiden näkökulmasta, mitä tuotteita ja palveluja voisi vielä olla ja mitkä kaipaavat parantelua.	G Lijärli kalotoo ut kaäng nidsi, ko tosi a seertesi vooif pirnen oo a kosi pirniid sihapiirte.
R Systematic research and brainstorming of all the undone work in Finland and planning, creating and brainstorming new jobs.	R Järjestelmällistä tutkimista ja ideointia mitä kaikkea tekemätöntä työtä Suomessa olisi ja uusien työpaikkojen suunnittelua, luontia ja ideointia.	G Lijärli dakaate a ideaate ko ki tee-ejva tö in Finlo ooif a novva tölosi kasoote, novte a ideaate.
R A comprehensive classification and mapping of products and services that exist in the world.	R Kaiken kattava luokittelu ja kartoitus maailmassa olemassa olevista tuotteista ja palveluista.	G Ki kioofva paersioote a kalotoote in köl ob oonen oova tosi a seertesi.
You can't try all the fields of the world at the same time, although it's good to have a holistic view and be interdisciplinary.	R Kaiken maailman aloja ei voi yrittää samanaikaisesti, vaikka kylläkin on hyvä olla kokonaisnäkemys ja poikkitieteellisyys.	G Ki köl leiobsi ej voo traa renali, tajli je a oo hava oo kiokamicu a durekdävao.
R All citizens' gifts for use.	R Kaikkien kansalaisten lahjat käyttöön.	G Ki hyjjosiof vofasi for teo.
R All parties must unite in patriotism!	R Kaikkien tahojen puhallettava yhteen hiileen, isänmaallisuutta!	G Ki dirsidsi piit tehouu tu is moC, mamhylvao!
R Dig up as many employment ideas as possible from the grassroots level to the main lines.	R Kaivaa mahdollisimman paljon työllistämisideoita ruohonjuuritasolta päälinjauksiin asti.	G Maap vostli piri töfaaideasi el upjurtal tu päreituosi ättu.
R It's worth carefully considering what you're doing so you don't waste time.	R Kannattaa tarkoin harkita mitä tekee, ettei kuluttaisi hukkaan aikaa.	G Rogöö tarkli ifsoo ko tee, syt ej teroriipif for nivro no.
R People involved in idea generation.	R Kansa mukaan ideointiin.	G Hyj tuvi ideaate.
R People to help.	R Kansa talkoisiin.	G Hyj intu friofratöhäp.
R People's brainstorming session to find undone work and create jobs.	R Kansan aivoriihi tekemättömän työn etsimiseksi ja työpaikkojen luomiseksi.	G Hyjof ideahäp for tee-ejva tö seek a tölosi novtee.
R All meaningful work should be mapped out, and groups should then be formed to plan and develop the work into a profitable venture.	R Kartoitettava kaikki mielekäs työ, joihin sitten muodostetaan ryhmiä suunnittelemaan ja kehittelemään työ kannattavaksi yrittämiseksi.	G Piit kalotoo ki romiva tö, intu kosi iten kauteeta iksiosi tu kasoo a sideev tö mu rogöva traate.
R Identify meaningful development areas.	R Kartoitettava mielekkäitä kehityskohteita.	G Piit kalotoo romiva devobösi.
R Map needs and identify relevant assets and development targets.	R Kartoittaa tarpeet ja niihin hyödykkeet ja kehittämisen kohteet.	G Kalotoo nidsi a intu itsi görotosi a deevte obösi.
R A stimulating growth and/or work environment will create new ideas and develop professional skills.	R Kasvu- ja/tai työympäristö virikkeiseksi, niin uusia ideoita syntyy ja ammattitaito kehittyy.	G Eöpiir- a/taj töraulo mu foryssiva, itli novva ideasi nöee a votölivote autdeev.
Cities to become eco-cities and the countryside to become vibrant.	R Kaupungit ekokaupungeiksi ja maaseutu elinvoimaiseksi.	G Taunlosi mu ekotaunlosi a nuatlo mu eopova.
R Develop more competitive and better products and services by eliminating existing problems.	R Kehitetään kilpailukykyisempiä parempia tuotteita ja palveluita niissä olevia ongelmia poistamalla.	G Deevta vintravotepir hapir tosi a seertesi vy in itsi oova ongsi yraap.
R Being active and doing hobbies is a way to develop and maintain vitality.	R Kehittävää ja vireyttä ylläpitävää on olla aktiivinen ja harrastaa.	G Deevva a poysvao yllapaoova oo oo siteva a mitee.
R More environmentally friendly production of chemicals using microbes.	R Kemikaalien ympäristöystävällisempi tuottaminen mikrobeilla.	G Kemmosi biolohavicupir toote vy fosikpesi.
R Focus on digging for ideas in one specific area and others in another area.	R Keskittyä jonkin määrätyn alueen ideoiden kaivamiseen ja toiset toisen alueen.	G Autmiid intu ö ödaaaen leilo ideasi maapte a tuasi duva leilo.
R Discussion provides stimuli that can lead to additional ideas that can be evaluated and further developed.	R Keskustelemalla saa virikkeitä, jotka voivat johtaa lisäideoihin ja niitä voidaan arvioida ja kehitellä edelleen.	G Vy visasaa aaf foryssi, kosi meej tudiir pirideasi a itsi voota rokaa a sideev depirna.
R Recycled and natural materials and designs from nature in craft ideas and products.	R Kierrätys- ja luonnonmateriaalit ja mallit luonnosta käsityöideoissa ja tuotteissa.	G Torau- a biotomosi a likatosi ut biolo in pavetöideasi a tosi.
R Competitive food.	R Kilpailukykyinen elintarvike.	G Vintravoteva eonidto.
R Writing is a good method for processing things, you can refine your thoughts all the time.	R Kirjoittaminen on hyvä menetelmä asioiden käsittelyyn, ajatuksia voi jalostaa koko ajan.	G Kiirte oo hava culite for sosi cute, soososi voo väpiir na kio no.
R Highly processed wood products, through materials science and polymer chemistry, 	R Korkean jalostusasteen puutuotteet materiaalitieteen ja polymeerikemian keinoin 	G Ylva väpiirlylri pumtosi vy tomodä a simermo kemda livorosi 
diverse utilization of biomass, commercial biorefinery, nanotechnology applications.	biomassan moninainen hyödyntäminen, kaupallinen biojalostamo, nanoteknologiasovellukset.	biomas siliva tegöroote, fäfva bioväpiirlö, gusiktekdä forsoopobsi.
In a society with high technological expertise, more individually tailored production could be increased while still keeping the price reasonable.	R Korkean teknologisen osaamisen yhteiskunnassa voisi lisätä yksilöllisemmin räätälöityä tuotantoa ja saada hinta kuitenkin kohtuulliseksi.	G In ylva tekdäva davoote visoslo vooif pirpaa isjopir oota lisojoneraotee-en toote a aaf rovri amut mu obnidriva.
R There are many travel destinations in Finland and at the same time domestic tourism is supported 	R Kotimaassa on paljon matkustuskohteita ja samalla tuetaan kotimaista matkailua 	G In balhyl oo piri rotuuobösi a rena suupta balhylvao sirotuo 
or you can go out in nature and pick berries for free.	tai aivan ilmaiseksikin voi liikkua luonnossa ja marjastaa.	taj fulli ejrovrili voo uu in biolo a bersikaap.
R Domestic, environmentally friendly, high-quality goods.	R Kotimaisia, ympäristöystävällisiä, laadukkaita hyödykkeitä.	G Balhylva, biolohavicuva, havaova görotosi.
R Increasing domestic energy production reduces dependence on imported energy.	R Kotimaista energiatuotantoa lisättäessä vähennetään riippuvuutta tuontienergiasta.	G Na balhylva poritoote pirpaata riipta obhängvao ut inagpori.
R The number of people being trained should better match the demand of the labor market, so that people are not trained to become unemployed.	R Koulutettavien määrien tulisi paremmin vastata työmarkkinoiden kysyntää, ettei koulutettaisi työttömäksi.	G Padaavtava risi piitif hapirli liree töforfäsi konid, syt ej padaavif mu töafejjo.
R You save on training costs and time, and things run better 	R Koulutuskustannuksissa ja ajassakin säästyy ja asiat rullaavat paremmin, 	G In padav rovpasi a ali in no autropaoo a sosi rool hapirli, 
when you practice self-study, self-reliance, independence, and initiative.	kun harjaantuu itseopiskeluun, omatoimisuuteen, itsenäisyyteen, oma-aloitteisuuteen.	na autvopiir intu autapdaavte, autotevao, autnavao, autnöteevao.
R Those with education and experience should definitely apply for open jobs for which they are well qualified.	R Koulutusta ja kokemusta omaavien pitäisi ilman muuta hakea avoinna oleviin työpaikkoihin, joihin heillä on hyvät edellytykset.	G Padav a davofi öfva piitif ejli tua seek intu na oupva oova tölosi, tu kosi häsi oof hava ednidsi.
R There should be more consumer education to guide the market economy towards sustainable production and consumption.	R Kuluttajavalistusta pitäisi olla lisää ohjaamaan kestävään tuotantoon ja kulutukseen markkinataloutta.	G Tetoriipjo katdafa piitif oo pir for tudiir ögvova toote a teroriipte forfärosta.
When a buys from b, b can afford to buy from c or a and the chain can continue.	R Kun a ostaa b:ltä, b:llä on varaa ostaa c:ltä tai a:lta ja ketju voi jatkua.	G Na a ääf ut b, vy b oo res ääf ut c taj ut a a siviring voo autpirtuu.
R When people are activated, it increases activity and more ideas and jobs begin to emerge.	R Kun ihmiset saadaan aktivoitua, niin se lisää toimeliaisuutta ja ideoita alkaa syntyä lisää ja työpaikkoja.	G Na mämsi aafta autsitee, itli it piir otevao a ideasi nöö nöee pir a tölosi.
R When everyone has a job, even those with disabilities, society is better able to pay for social spending.	R Kun kaikilla on työpaikka, vajaakuntoisillakin, niin yhteiskunta pystyy kustantamaan paremmin sosiaalimenot.	G Na ki oof tölo, alfulvostava a, itli visoslo votee rovpaa hapirli sosrovripsi.
R Just as there are gyms, there could be idea gyms.	R Kuten on kuntosaleja, voisi olla ideasaleja.	G Li oo vostatoliksi, vooif oo ideatoliksi.
R Go through the keywords from the 90,000 Finnish words in alphabetical order and find an idea there.	R Käydä avainsanoja läpi 90000:sta suomen kielen sanasta lopusta päin aakkosjärjestyksessä ja löytää sieltä idea.	G Tuu inli lukvosasi ut 90000 finvos sasi ut ön dirtu in a-öjär a kees itel idea.
R You can save on transportation costs by using carpooling and traveling as much as possible by foot or bike.	R Liikennemenoissa voi säästää, kun käyttää kimppakyytejä ja kulkee mahdollisimman paljon jalan tai pyörällä.	G In tustarovripsi voo ropaoo, na teoo sivirotutsi a tuut vostli piri tuveli taj vy durauvo.
R Increase learning by doing and independent study when there is good learning material.	R Lisätä tekemällä oppimista ja omatoimista opiskelua, kun on hyvä oppimateriaali.	G Pirpaa vy tee daavte a autoteva apdav, na oo hava davmo.
R More inspiration!	R Lisää virikkeitä!	G Pir foryssi!
R Read a lot, get information, reflect.	R Lue paljon, hanki tietoja, pohdiskele.	G Riik ja piri, foraaf ja öbdasi, siöbsoo.
R List all possible undone work.	R Luetellaan kaikki mahdollinen tekemätön työ.	G Siutriikta ki vova tee-ejva tö.
R It is advisable to study science, languages and mathematics on your own.	R Luonnontieteellisiä asioita, kieliä ja matematiikkaa kannattaa itseopiskella.	G Biolodäva sosi, vossi a risoda rogöö autapdaav.
R Trusts and encourages even the long-term unemployed.	R Luottaa pitkäaikaistyöttömiinkin ja kannustaa heitä.	G Uscuu ali tu lunotöafejjosi a gövyy häsi.
Stages of creative problem solving.	R Luovan ongelmanratkaisun vaiheet.	G Novteeva onggnoote feisnosi.
R New needs and demand for them must be found.	R Löydettävä uusia tarpeita ja niille kysyntää.	G Piit kees novva nidsi a for itsi konid.
R Finds related goods for goods and sees what is related to what.	R Löytää hyödykkeille liitännäishyödykkeitä ja katsoa, mikä liittyy mihinkin.	G Kees for görotosi rupaogörotosi a kaa, ko rutuu kointu a.
R Extensive use of modeling and simulation in process design and optimization.	R Mallintamisen ja simuloinnin laajahyödyntäminen prosessisuunnittelussa ja optimoinnissa.	G Likatoote a liretekaate leileiva tegöroote in tötuo kasoote a hastvostaate.
R It would be a good idea to increase the use of berries in your diet.	R Marjojen käyttöä kannattaisi lisätä ruokavaliossa.	G Bersi teo rogööif pirpaa in emvaoto.
R The market economy alone is not capable of guiding employment, but better guidance from civil society is needed to create jobs.	R Markkinatalous ei kykene yksin ohjaamaan työllistymistä, vaan tarvitaan parempi kansalaisyhteiskunnan ohjailu työpaikkojen luomiseksi.	G Forfärosta ej votee isvi tudiir auttöaafte, mut niidta hapir hyjjovisoslo situdiirte for tölosi novte.
