VosaTevos	Finnnish	English
kriketple	kriketti	cricket
Krim	Krimi	Crime
kris	kriisi	crisis
krisli	kriittisesti	critically
krissta	kriisitilanne	crisis situation
Krist	Kristus	Christ
Krist autkliirte	Kristuksen kirkastuminen	Transfiguration of Christ
Krist duva uutte	Kristuksen toinen tuleminen	second coming of Christ
kristdav	kristinoppi	Christian doctrine
kristjo	kristitty	Christian
Kristkros	krusifiksi	crucifix
Kristof tevisoptö	Kristuksen sovintotyö	redemption work of Christ
kristra	kristillinen rakkaus	Christian love
kristsio	kristikunta	Christendom
kristustolva	kristilliskirkollinen	christian church
kristva	kristillinen	Christian
kristvao	kristillisyys	Christianity
kristvaus	kristinusko	Christianity
krisva	kriittinen	critical
kroatva	kroatialainen	Croatian
kroketple	kroketti	croquet
kroketple häkvo	krokettimaila	croquet racket
krokkuk	krookus	crocus
krokotpe	krokotiili	crocodile
kromosom	kromosomi	chromosome
kron	kruunu	crown
kronpä	kruunupää	crowned head
kroon	kruunata	coronate; crown
kroonhäp	kruunajaiset	coronation
kroonte	kruunaus	coronation; crowning
kroos	ristiä	cross
kroos pavesi	panna kädet ristiin; ristiä kädet	fold your hands; cross your arms
krooshäp	ristiäiset	baptizing; christening
kros	risti	cross
kroska	kruksi; rasti; ruksi	check mark; checkpoint; cross; tick
kroskapaa	kruksata; rastittaa; ruksata	check off; tick; tick off
kroskrosli	ristiin rastiin	crisscross
kroskut	leikkaus	intersection
krosli	ristissä	crossed; across
krosluli	poikittain	across; athwart; crosswise; sideways; transversely
krosluva	poikittainen	transversal; transverse
krosob	risteys	crossroad; junction; intersection; crossroads; crossing; crossway
krosob dot	leikkauspiste	intersection point
krosponitpu	ristipalkki	crossbeam
krospos	konflikti; ristiriita	conflict; contradiction; discordance; discrepancy
krosposejva	ristiriidaton	uncontroversial
krosposejvao	ristiriidattomuus	consistency
krosposva	ristiriitainen	conflicted; conflicting; contradictory; contrapositive; discordant; dissonant; warring
krosposvao	ristiriitaisuus	inconsistency; contradiction; incongruity
krosposvista	ristiriitatilanne	conflict situation
krosrupiik	ristiinnaulita	crucify
krosrupiikte	ristiinnaulitseminen	crucifixion
krossaong	ristisanatehtävä	crossword puzzle
krossip	selkkaus	conflict
krostu	ristiin	across; crosswise
krosustuo	ristiretki	crusade
krosustuojo	ristiretkeläinen	crusader
krosvuu	risteillä	cruise
krosvuute	risteily	cruise
krosvuvö	risteilijä	cruiser
krusärkfis	ruutana	crucian carp
krypt	krypto	crypto
kryptrov	kryptovaluutta	cryptocurrency
kräb	rapu	crab; crawfish; crayfish
kräbaap	ravustaa	catch crayfish
kräbaapte	ravustus	crabbing
kräbem	äyriäinen	shellfish
kräbpe	äyriäinen	crustacean
ks	x	x
ksyltolmo	ksylitoli	xylitol
kubit	kubitti	qubit
Kublo	Kuuba	Cuba
kubva	kuubalainen	Cuban
kuem	keitto; soppa	soup
kuemiptolik	keittokomero	kitchenette
kuemkirto	keittokirja	cookbook
kuemsi	keitot	soups
kuhfis	kuha	zander; pike perch; pike-perch
kuiksif	kuikka	loon; diver; black-throated diver
kuk	kukka	bloom; blossom; flower
kukfäfjo	kukkakauppias	florist
kukip	kukkanen	flower
kukkälif	terälehti	petal
kukkäpep	kukkakaali	cauliflower
kukmeh	mesi	nectar
kukmolos	kukkapenkki	flowerbed
kukofva	kukallinen	flowered
kuksi	kukat	flowers
kuksipao	kukkakimppu; kukkavihko	bouquet; corsage; nosegay; posy
kuksiva	kukkainen	flowery
kukuu	kukkua	"call ""cucoo"""
kukuusif	käki	cuckoo
kukuusif käpep	käenkaali	wood sorrel
kukuusifkuk	käenkukka	campion
kukves	maljakko; vaasi	vase
kuleives	pannu	pan
kulo	keittiö	cuisine; kitchen
kuloaltno	keittiövuoro	kitchen duty
kuloylvojo	keittiömestari	chef; kitchener
kum	kumi	gum; rubber
kumhö	kumu	rumble
kumhöö	kumista	peal
kuminep	kumina	caraway; cumin
kumlymaarkvo	kumileimasin	rubberstamp
kummilk	lateksi	latex
kumnauh	kuminauha	rubberband
kumva	kuminen	gummy
kun	valvetila	wakefulness
kunkaali	valppaana	wide-awake
kunkali	valppaasti	vigilantly
kunkamuuen	valpastunut	alerted
kunkava	valpas	alert; vigilant; watchful; wakeful; open-eyed
kunkavao	valppaus	alertness; watchfulness; vigilance
kunle	hereille	awake
kunli	hereillä; valveilla	awake
kuob	keitos	concoction
kuobäkpe	kameli	camel
kuobäkve	kyttyräselkä	humpback; hunchback
kuobäkveva	kyttyräselkäinen	hunchback; hunchbacked; crookbacked
kuohomvom	kupla; pore	bubble
kuohomvomos	poreallas	Jacuzzi; whirlpool
kuohomvoom	porista; kuplia	bubble
kuohomvoomva	kupliva; poreileva	fizzing; fizzy; bubbly; effervescent
kuokato	korkokuva; reliefi	emboss; relief
kuokatooen	kohokuvioitu	embossed
kuoknithöv	luuttu	lute
kuol	kuoppa	pothole; cavity; dimple; pit; pitting
kuolsi	kuopat	pits; bumps; dimples
kuolsiva	kuoppainen	bumpy; dimpled; pitted; potholed
kuomahev	möhömaha	paunch; pot-belly
kuomol	kumpu; töyry; kumpare	knoll; mound; hillock; hummock
kuopinäp	follikkeli; rakkula	blister; follicle; vesicle
kuoplo	kupoli	cupola; dome
kuoreek	kupruilla	blister
kuorek	kupru	lump
kuos	hella; liesi	range; stove; loving; cooker
kuoshomfreesvo	liesituuletin	cooker hood
kuoskuoto	liesikupu	hood; stove hood
kuostal	keittotaso	hob
kuoto	kupu	hood
kuova	kupera	convex
kuove	kupu	craw
kuovsif	kuovi	curlew
kuoylri	kukkura	heaped measure
kuoylrili	kukkurallaan	heaped
kup	kippo; kuppi	scoop; cup
kupri	kupillinen	cupful; cup of
kupvemlo	kuppila	cafeteria
kurdjo	kurdi	Kurd
kurkep	kurkku	cucumber
kurpsif	kurppa	sandpiper
kuskautemo	halogeeni	halogen
kusmo	suola	salt
kusmoejva	suolaton	salt free; unsalted
kusmohep	suolaheinä	sorrel
kusmokurkep	suolakurkku	pickled cucumber
kusmoo	suolata	corn; cure; salt; salt down; apply salt into
kusmo-ofva	suolapitoinen	saline
kusmoote	suolaus	saltation; salting
kusmova	suolainen	salty; saltine; briny
kusmovam	suolavesi	salt water; saltwater; brine
kut	leikkaus	clipping; cut; cutback
kutditerjo	kirurgi	operating surgeon; sawbones; surgeon
kutfii	vihloa	grate on; shoot; jar on; have a stabbing pain; have shooting pains
kutforjurep	pistokas	scion
kuthiekamrauuvo	tahko	grindstone; whetstone wheel
kuthäkvo	kirves	ax; axe; hatchet
kuthäkvo lubod	kirveen varsi	ax handle
kuthääk	hakata; sivaltaa	chop; slap
kuthääkte	hakkaus	cutting
kutiik	siivuttaa; viipaloida	slice
kutiikte	viipalointi	slicing
kutik	leike; siivu	section; slice
kutikto	viipale	slice
kutli	kärjekkäästi; kärkevästi; terävästi	pointedly; sharply
kutlin	sekantti	secant
kutmit	viillokki; kotletti	cutlet; fricassee
kutmonlo	kuun sirppi	crescent moon
kutob	leike	clip; clipping; escalope
kutobkirto	leikekirja	scrapbook
kutpiir	teroittaa; terävöittää	inculcate; sharpen; whet
kutpiirte	teroitus	sharpening
kutpiirvo	teroitin	sharpener
kutpu	lauta	board
kutpulao	paneeli	wainscot; panel
kutpulapaate	lautaverhous	wood siding
kutpulytal	lautalattia	board floor
kutpupaa	laudoittaa	board
kutpuple	lautapeli	board game
kutropapr	kuponki	coupon; voucher
kutsipvo	kalpa; miekka	sword; cutlass; epee
kutsipvofis	miekkakala	swordfish
kutsipvoote	miekkailu	fencing
kutto	terä	blade
kuttokam	liippa	whetstone for scythe
kutva	terävä	acute; incisive; pointy; sharp; trenchant
kutvao	terävyys	sharpness; acuity; definition
kutvilsemurvö	leikkuupuimuri; puimuri	combine harvester
kutvisva	terävä-älyinen	smart
kutvoo	puukottaa	knife; stab
kutvoote	puukotus	stabbing
kutvosva	teräväkielinen	sharp-tongued
kutönpikva	teräväkärkinen	sharp-pointed
kuu	keittää	boil; cook
kuudava	kulinaarinen	culinary
kuuen	keitetty; kypsä	boiled; brewed; cooked
kuujo	keittäjä; kokki	chef; cook
kuuk	kukkia	bloom; blossom; flower
kuukte	kukinta	bloom; flowering
kuun	valvoa	stay awake; stay up
kuunejvao	valvomattomuus	unwatchfulness
kuunjo	valvoja	proctor
kuunte	valvominen	staying awake
kuunte in us	valvominen uskossa	watching in faith; watching over in faith
kuunva	valvova	watchful
kuut	napsia; leikata	cut; mow; pare; shear; slice; snip
kuut leusiheör	ajaa parta; raakata parta	shave
kuuten	leikattu	trimmed; shorn; sheared; operated; dissected; clipped; cropped
kuutte	leikkaus	cutting
kuutva	leikkaava	cutting
kuutvo	leikkuri	clipper; shedder; lopper; cutter; cropper
kuves	pannu; kasari; kattila	boiler; caldron; cauldron; fish-kettle; jam pot; kettle; saucepan
kuvö	keitin	stove; digester
kv	q	q
kva	neljä	four
kva-	neli-	four-
kvabas	neljäkymmentä	forty
kvabasjänriva	nelikymppinen	forty
kvabasna	neljäkymmenluvulla	in the forties
kvabasva	neljäskymmenes	fortieth
kvaces	neljäsataa	four hundred
kvahyn	huhtikuu	April
kvahynis	aprilli	april
kvahöli	neliäänisesti	in four voices
kvaik	neljännes; neljäsosa; vartti	quarter
kvaikdin	neljännestunti	fifteen minuter
kvaikjänli	neljännesvuosittain	quarterly
kvajänva	nelivuotinen	quadrennial
kvaka	nelonen	four; fourth; number four
kvakros	risuaita	hash sign
kvali	neljästi	four times
kvalimlo	karsina	pen
kvalimloote	karsinointi	grouping
kvanoo	nelinkertaistaa	quadruple
kvanova	nelinkertainen	quadruplicate; fourfold
kvant	kvantti	quantum
kvantdavö	kvanttitietokone	quantum computer
kvaple	nelinpeli	doubles; doubles match; foursome
kvapoag	neliveto	four-wheel drive
kvapoagva	nelivetoinen	four wheel drive
kvartskam	kvartsi	quartz
kvarytmva	nelitahtinen	four stroke
kvas	kvasi	quasi
kvasid	tetraedri	tetrahedron
kvasidva	nelisivuinen	quadrilateral
kvasio	kvartetti; kvartetto; nelikkö	quartet; quartette
kvatuvesiva	nelijalkainen	fourfooted; four-legged; quadruped; quadrupedal
kvava	neljäs	fourth
kvavio	nelikkö	foursome
kvaäng	nelikulmio; neliö	square; quadrangle
kvaängjur	neliöjuuri	square root
kvaängkauka	ruutukuvio	checkered pattern
kvaängmetr	neliömetri	square meter
kvaängmidsilori	varianssi	variance
kvaängpik kaukavto	obeliski	obelisk
kvaängva	nelikulmainen; neliömäinen	squarish; quadrangular; rectangular
KVR-kod	QR koodi	QR code
kyierpe	kyy; kyykäärme	common viper; viper
Kyprlo	Kypros	Cyprus
kyrilva	kyrillinen	cyrillic
kyskäpep	kyssäkaali	kohlrabi
kystkuopinäp	kysta	cyst
kä	väri	color; colour
käbkäns	rintasyöpä	breast cancer
käbmahväl	pallea	diaphragm; midriff
käbvat	liivi	vesture; vest
käbve	povi; rinta	bosom; breast; chest
käbve vi käbve	rinta rinnan	side by side
käbveahfi	rintakipu	chest pain
käbvekato	rintakuva	bust
käbvelarau	rintakehä; rintakehä-	thorax; chest; thoracic
käbvemark	rintamerkki	badge
käbverokapikvo	rintaneula	brooch
käbverokavo	rintakoru	brooch
käbvevat	rintaliivit	bra; brassiere
käbveögvo	rintakilpi	breastplate
käbvivopa	rintavarustus	battlements
käbvuute	rintauinti	breaststroke
kädotelo	mainostoimisto	advertising agency; publicity agency
kädto	mainos-; mainos	ad; commercial; advertisement; blurb
kädtolusa	mainoslause	advertising slogan
kädtomä	mainosmies	ad man
kädtopapr	mainoslehtinen	broadsheet; flier; throwaway
kädvolkato	mainostaulu	billboard
käejretuokeerva	akromaattinen	achromatic
käejva	kelmeä; väritön	colorless; uncolored; colourless; pallid
käejvao	värittömyys	colorlessness; lack of colour
käejvokava	värisokea	color blind
käfulmo	pakkeli; kitti	putty
käfulmoo	kitata; paklata	putty; tipple
kähapvem	limonadi; limsa	lemonade
käiikte	läikkyminen	spill
käik	läikkä; läiskä	speck; spot; splodge; splotch
käikva	läikikäs	blotchy
käkatkato	värivalokuva	color photograph; colour photo
käkirvo	värikynä	coloured pencil; crayon
kälaoev	iiris; värikalvo	iris
käliva	kromaattinen; värillinen	colorful; colored; chromatic; coloured
käluo	laikku	blotch; macula; spot
kämo	maali; väriaine	colorant; dye; dyestuff; paint; toner
kämoejva	maaliton	paintless
kämokav	maalaustaide	painting
kämokayv	maalipeite	paint mask; coat of paint
kämoleiyl	maalikerros	coat of paint
kämoo	maalata	blazon; paint
kämooejva	maalaamaton	unpainted
kämooen	maalattu	painted
kämoojo	maalari	painter
kämoolö	maalaamo	paint shop
kämosupos	maalausteline	easel
kämoto	maalaus	painting
kämotova	maalauksellinen	picturesque
kämp	leiri	camp
kämpdiirjo	leiri-isäntä	camp director
kämpjo	leiriläinen	camper
kämpleilo	leiripaikka; leirintäalue	campground; camp-ground; camping-site; campsite; encampment
kämptö	leirityö	camp work
känauh	värinauha	ribbon
käns	syöpä	canker; carcinoma; cancer
känsliva	syöpäinen	cancerous
känstermo	syöpälääke	anticancer drug
käpaoova	värinpitävä	colorfast
käpep	kaali	cabbage
käpepkuem	kaalikeitto	cabbage soup
käpepmae	kaalimato	cabbage worm
käpfung	kääpä	polyporus
käpjurep	lanttu	rutabaga; Swedish turnip; swede
käpjurepboks	lanttulaatikko	pitch box
käriip	haalistaa	fade
käripva	haalea	faded; pale
kärpe	kärppä	ermine
kärpeg	kärpänen	fly
kärpegläp	kärpäslätkä	flyswatter
kärpelaevmo	kärpännahka	ermine
kärsep	kärsämö	yarrows
käräjleito	paletti	palette
käsi	värit	colours; colors
käsiermupe	kameleontti	chameleon
käsili	värikkäästi	colorfully
käsiva	värikäs	colorful; colourful
käsivao	värikkyys	chromaticity
kätiinmo	tinneri	paint thinner; thinner
käva	värinen	colored
kävlo	luola	cave; grotto; cavern
kävooshte	laveeraus	tint
kää	värittää	color; colorize; colour; embellish
kääd	mainostaa	advertise; publicize
käädjo	mainostaja	advertiser
käädte	mainonta; mainostus	advertising; promotion; puff
kääp	avata paketti	unpack; unwrap
kääp pääken dasi	purkaa tietojen tiivistys	decompress the data
kääp pääken sida	purkaa pakattu tiedosto; purkaa tiivistetty tiedosto	decompress; extract the compressed file
kääpen	purettu	unpacked
kääpte	purkaminen; purku	decompression; unpacking
kääte	väritys	coloring; colouring; coloration
kö-	8. merkitysaste	8. degree of meaning
köb	alue (biologia)	domain
köhhö	kähinä	rasp
köhhöli	käheästi	hoarsely; huskily
köhhöva	käheä	hoarse
köhhövao	käheys	hoarseness
köhhöö	köhistä	rasp
köhkööh	yskiä	cough
köhkööhte	yskiminen	coughing
köhmo	yskös	sputum
köhret	köhä; yskä	hacking cough; cough
köhtee	yskittää	cough
köhysipjo	kenraalimajuri	major general
köl	maailma	world
köldahonva	maailmankuulu	world-famous
köldä	maantiede	geography
köldäjo	maantieteilijä	geographer
köldäli	maantieteellisesti	geographically
köldäva	maantieteellinen	geographic; geographical
köljo	kosmopoliitti	cosmopolitan
kölkaide	maailmankatsomus	world outlook
kölkaideva	maailmankatsomuksellinen	ideological
kölkaob	maailmankuva	world view
kölleiite	globalisaatio	globalization
kölleili	maailmanlaajuisesti; globaalisti	global; globally
kölleiva	globaali; maailmanlaajuinen	world-wide; global; worldwide
köllimno	maailmankausi	aeon; world season
kölliva	maailmallinen	mundane; worldly
köllivao	maailmallisuus	worldliness
kölpögöteva	maailmanpoliittinen	world political
kölrotuujo	maailmanmatkaaja	globetrotter
kölsip	maailmansota	world war
költunovoote	maailmanennätys	world record
kölult	maailmanääri	ends of the earth
kölva	maallinen	worldly
kölvos	maailmankieli	world language
kölylvojo	maailmanmestari	world champion
kölylvojovao	maailmanmestaruus	world championship
kölylvojovao vintra	maailmanmestaruuskilpailu	world championship
kölön	maailmanloppu	end of the world
kös	triljoona	quintillion (Am); trillion (Br)
kösipjo	kenraali	five-star general; full general; general
kövusipjo	amiraali	admiral
la	päällä; yllään; yllä	on; wearing; topped; upon
la alo	pohjalla	at the bottom; on the bottom
la deka	jäljillä	on the trail of
la dekatulsi	raiteilla	on track
la dim	partaalla; reunalla	on edge; on the brink of; on the verge of
la dimsid	laitamilla	outskirts
la dipva	syvällä	deep
la far	etäällä	far
la farpir	kauempana	further on
la farst	kauimpana	farthest; furthest
la fetultol	asemalla	at the station
la fovamlo	merellä	at sea; seaway
la iptol	mökillä	at the cottage
la it	sen päällä	thereon
la itof lo	paikallaan	in place; stationary
la järi	jäljellä	left
la kadeob	taustalla	underlying; underpinning
la kirsid	sivulla	on the page
la lao	pinnalla	afloat
la laos	pöydällä	on the table
la leilo	alueella	within the precincts of
la leilosi	aloilla	sectors
la lev	vasemmalla	on the left
la lim	rajalla	at the border
la lo	paikalla; paikan päällä	at place; present; on the spot
la lotuvö	aluksella	aboard; on board
la lyouv	kynnyksellä	at the threshold; doorstep
la lypir	alempana	lower
la lytal	lattialla	on the floor
la mol	maassa	on the ground
la möylleikia	rinteessä	on the slope; aslope
la net	verkossa	online
la nihylsi	ulkomailla	overseas; abroad
la nist	uloimpana	outermost
la nuatlo	maaseudulla	in the countryside
la pimöyl	vuorella	on the mountain
la pä	päässä	on head
la raflo	lähimain; lähistöllä	nearby
la rafpir	lähempänä	closer; nearer
la raktuo	käpälämäessä	on the lam
la rotuo	matkalla	on the way; en route
la rotut	kyydissä	on board
la sid	puolella; sivulla	beside; by the side; on the side of
la siheplo	nurmikolla	on the lawn
la stoplo	pysäkillä	at the stop
la tal	tasolla	at level
la tal vi	tasalla	in step with
la tanretlö	poliklinikalla	at the outpatient clinic; at the polyclinic
la tarobtulsi	harhateillä	going astray
