Tunniste	Englanti	Suomi	Vosa
1974	You remember the classification system: ba-, ce-, di-, fo- , gu-, hy-, jä-, kö-, which are consecutive series derived by.	Muistathan luokitusjärjestelmän: ba-, ce-, di-, fo- , gu-, hy-, jä-, kö-, joiden avulla peräkkäiset sarjat on johdettu.	Ja söö a paersioote lijär: ba-, ce-, di-, fo-, gu-, hy-, jä-, kö-, vy kojosi eddeva serisi oo deriiven.
1975	second, minute, hour, 24-hour period, week, month, year	sekunti, minuutti, tunti, vuorokausi, viikko, kuukausi, vuosi	ban, cen, din, fon, gun, hyn, jän
1976	Depart to us / Group travel away	Poikkea meille / Ryhmä matkustaa pois	Ertuut ja tu ajsi / Iksio rotuu yr
1977	Train is coming / Let's meet 13.20 / 22.20.	Juna tulee / Tavataan kello 13.20 / kello 22.20.	Fetuvö uut / Ögkaata na novo 13.20 (bastre dubas) / na novo 22.20 (dubasdu dubas).
1978	I'll come / Where are you going	Tulen / Minne te menette	Aj uut / Kotu jasi tuu
1979	on tuesday / tomorrow night	tiistaina / huomenillalla	na cetan / na detan ennat
1980	tomorrow morning / tomorrow or	huomenaamulla / huomenna tai	na detan entan / detanna taj
1981	the day after tomorrow / on daytime / in the evening?	ylihuomenna / päivällä / illalla?	yldetanna / tanna / ennatna?
1982	They left early in the morning.	He lähtivät jo aamulla.	Häsi urtuuen ripnen entanna.
1983	Brother didn't call me today but yesterday.	Veli ei soittanut minulle tänään vaan eilen.	Bajson ej visavööen tu aj tätanna mut edtanna.
1984	On the next day we skied.	Seuraavana päivänä me hiihtelimme.	Deva tanna ajsi silumtuvooen.
1985	In winter, the days are short and nights are long.	Talvella päivät ovat lyhyitä ja yöt pitkiä.	Na kalno tansi oo ulva a natsi oo luva.
1986	The longest day is June 21.	Kaikkein pisin päivä on 21. kesäkuuta.	Kiob ulst tan oo na dubasisva sikhyn.
1987	We worked / He has to work	Teimme töitä / Hänen on tehtävä töitä	Ajsi tööen / Hä piit töö
1988	He often has to work from morning to night / even at night / late into the night.	Hänen on usein tehtävä töitä aamusta yöhön / yölläkin / myöhään yöhön.	Hä piit sina töö ut entan tu nat / ali natna / tu ylna nat.
1989	Have you read today's magazine?	Oletteko lukenut tämänpäiväisen lehden?	Ooenko jasi riiken tätanva dapapr?
1990	He learned Russian alphabet in one evening.	Hän opetteli venäläisen kirjaimiston yhdessä illassa.	Hä apdaaven rusva sikirka in is ennat.
1991	I was all the evening in my own room.	Olin koko illan omassa huoneessani.	Aj ooen kio ennat in ajof ofva tolik.
1992	The train goes there in 24 hours.	Juna menee sinne vuorokauden.	Fetuvö tuu itle is fon.
1993	There are only three days left.	On jäljellä vain kolme päivää.	Oo la järi erisli tre tansi.
1994	We already are here for the last day.	Olemme jo viimeistä päivää täällä.	Ajsi oo ripnen önva tan täla.
1995	It was a wonderful evening.	Se oli ihana ilta.	It ooen fainkava ennat.
1996	It will be midnight soon.	Pian on keskiyö.	Ipne oo midnat.
1997	WEEK	VIIKKO	GUN
1998	There is left to go less than a week.	Lähtöön on jäljellä alle viikko.	Tu urtuo oo la järi alri gun.
1999	We decided to stay still for a week.	Päätimme jäädä vielä viikoksi.	Ajsi pääten jää pirnen for gun.
2000	I have an exam this week.	Minulla on tentti tällä viikolla.	Aj oof davotra tä gunna.
2001	A week ago / last week we were still in Central Asia	Viikko sitten / viime viikolla olimme vielä Keski-Aasiassa	Gun iten / edva gunna ajsi ooen pirnen in Mid-Asialo,
2002	Next week we travel to Rome (Roman Empire).	Ensi viikolla matkustamme Roomaan (Rooman valtakunta).	Deva gunna ajsi rotuu tu Rome (Romelo, Rome pöhyl).
2003	We go to service twice a week.	Käymme seuroissa kaksi kertaa viikossa.	Ajsi uttuu ussersi du isnosi in gun.
2004	WEEK DAY	VIIKONPÄIVÄ	GUNTAN
2005	What day is it today? Tuesday.	Mikä päivä tänään on? Tiistai.	Ko tan tätanna? Cetan.
2006	On the weekend / on Saturday we have a sightseeing tour.	Viikonlopulla / Lauantaina meillä on nähtävyyskiertoajelu.	Na gunön / Na hytan ajsi oof vokaavao raukatuo.
2007	On Fridays / Saturdays many travel to the cottage / to the country.	Perjantaisin / Lauantaisin monet matkustavat mökille / maalle.	Na gutansi / na hytansi si rotuu tu iptol / tu nuatlo.
2008	stores are closed	kaupat ovat kiinni	fäflosi oo puo
2009	We have an exercise on Tuesdays.	Meillä on harjoitus tiistaisin.	Ajsi oof vopirob na cetansi.
2010	Already on the day of arrival, we had time see a lot.	Jo tulopäivänä ehdimme nähdä paljon.	Ripnen na uutte tan ajsi novoo vokaa piri.
2011	MONTH, DATE	KUUKAUSI, PÄIVÄYS	HYN, TANRI
2012	The first test is	Ensimmäinen koe on	Isva votra oo
2013	in December / October	joulukuussa / lokakuussa	na basduhyn / na bashyn
2014	after a month	kuukauden kuluttua	ne is hyn
2015	at the beginning of the month	kuun alussa	nöna hyn
2016	on the 10th of April	kymmenentenä huhtikuuta	na basva kvahyn
2017	the fifth of August	viidentenä elokuuta	na fivva ahthyn
2018	the twelfth of February	kahdentenatoista helmikuuta	na basduva duhyn
2019	October 20th	20. lokakuuta	na dubasva bashyn
2020	He traveled away for a month.	Hän matkusti pois kuukaudeksi.	Hä rotuuen yr for is hyn.
2021	How many days has this month?	Montako päivää tässä kuussa on?	Siko tansi oo in tä hyn?
2022	January has 31 days.	Tammikuussa on 31 päivää.	In ishyn oo trebasis tansi.
2023	YEAR, DATE	VUOSI, PÄIVÄMÄÄRÄ	JÄN, TANRI
2024	What date is today?	Monesko päivä tänään on?	Sivako tan oo tätanna?
2025	Today is September 5th	Tänään on 5. (viides) syyskuuta	Tätanna oo 5. (fivva) ninhyn
2026	2019 (two thousand and nineteen)	2019 (kaksituhatta yhdeksäntoista)	2019 (dudis basnin)
2027	The first sputnik was launched in 1957.	Ensimmäinen sputnikki laukaistiin vuonna 1957.	Isva sputnik tesuuten jänna 1957.
2028	I traveled a lot.	Matkustelin paljon.	Aj sirotuuen piri.
2029	Have you come here for a year?	Oletteko tullut tänne vuodeksi?	Ooko jasi uuten täle for jän?
2030	We'll come again in a year.	Tulemme uudestaan vuoden kuluttua.	Ajsi uut novli ne is jän.
2031	He goes to the spa.	Hän matkustaa kylpylään.	Hä rotuu tu batlö.
2032	He's been driving a car already many years.	Hän on ajanut autoa jo monta vuotta.	Hä oo katuuen tuvö ripnen si jänsi.
2033	In a year / in a whole year we have not seen each other.	Vuoteen / kokonaiseen vuoteen emme ole nähneet toisiamme.	In jän / kiova jänna ajsi ej oo ögkaaen obki tuasi.
2034	SEASONS	VUODENAJAT	JÄNNOSI
2035	In the spring, students take exams.	Keväällä opiskelijat suorittavat tenttejä.	Enlakna apdaavjosi tuöntee davotrasi.
2036	Finally, spring has come.	Vihdoinkin kevät on tullut.	Önnen a enlakno oo uuten.
2037	Where are you going in the summer?	Minne te menette kesällä?	Kotu jasi tuu lakna?
2038	He was in Russia in the summer.	Hän oli kesällä Venäjällä.	Hä ooen lakna in Ruslo.
2039	Last year the summer was cool.	Viime vuonna kesä oli viileä.	Edva jänna lakno ooen ipkalva.
2040	In summer we have quite a warm weather.	Kesällä meillä on melko lämmin ilma.	Lakna ajsi oof rafli lakva nista (hom).
2041	Do you have a rainy autumn?	Onko teillä sateinen syksy?	Oofko jasi vamlyva enkalno?
2042	In the autumn, less tourists will arrive in our country.	Syksyllä maahamme saapuu vähemmän turisteja.	Enkalna tu ajof hyl uut rip rotuojosi.
2043	It's already full winter.	On jo täysi talvi.	Oo ripnen fulva kalno.
2044	You must have very cold in winter.	Teillä on talvella varmaan hyvin kylmää.	Jasi oof kalna mejvarmli errili kalva.
2045	HOLIDAYS	JUHLAPÄIVÄT	RONOTANSI
2046	What holidays do you have?	Mitä juhlapäiviä teillä on?	Ko ronotansi jasi oof?
2047	Children are expecting gifts from frosty man / santa claus.	Lapset odottavat lahjoja pakkasukolta / joulupukilta.	Ipmämsi obnoo tofasi ut kalmunmä / ut julunmä.
2048	On the eighth of March, Women's Day is celebrated.	Kahdeksantena maaliskuuta vietetään naisten päivää.	Na ahtva trehyn noteeta ämsiof tan.
2049	On May Day we go to see the procession.	Vappuna menemme katsomaan kulkuetta.	Na Fivhynis ajsi tuu kaa tuutsio.
2050	Salutes are shot on Victory Day.	Voitonpäivänä ammutaan kunnialaukauksia.	Vintanna suutta hontesuuttesi.
2051	Victory Day is a big holiday.	Voitonpäivä on suuri juhlapäivä.	Vintan oo piva ronotan.
2052	International Youth Day	Kansainvälinen nuorisopäivä	Hyjsivälva nujosio tan
2053	Russian people are celebrating the anniversary of the October Revolution	Venäjän kansa viettää lokakuun vallankumouksen vuosipäivää	Ruslo hyj notee bashyn pöly jäntan.
2054	Constitution Day	Perustuslain päivä	Beslopöso tan
2055	TIMING	AJANKOHTA	NOIPLO
2056	When do you travel for a holiday?	Milloin matkustatte lomalle?	Kona jasi rotuu urtöno?
2057	You can come / They will	Voit tulla / He tulevat	Ja meej (voo) uut / Häsi uutne
2058	My comrades will come (futures with ne-suffix)	Toverini tulevat (futuuri ne-päätteellä)	Ajof vijosi uutne (netesa vy ne-önsa)
2059	They should come (conditional with an if- suffix)	Heidän pitäisi tulla (konditionaali if-päätteellä)	Häsi piitif uut (iflusa vy if-önsa)
2060	any day / toward evening	minä päivänä tahansa / illan suussa	kona tansi sattaj / tuob ennat
2061	after some time	jonkin ajan kuluttua	ne öri no
2062	a little later / before dinner	vähän myöhemmin / ennen päivällistä	ipri nepir / en tanem
2063	Come already! Soon!	Tule jo! Kohta!	Uut ja ripnen! Ipne!
2064	He has come a long time ago.	Hän on tullut jo kauan aikaa sitten.	Hä oo uuten ripnen luna iten.
2065	He came before me.	Hän tuli minua aikaisemmin.	Hä uuten lynapir aj.
2066	He won't come anymore.	Hän ei enää tule.	Hä ejpirnen uut.
2067	Let's sit quietly, it's already late.	Istutaan hiljaa, on jo myöhä.	Siitta öhli, oo ripnen ylno.
2068	It's too late to call on the phone / play with an instrument.	On jo liian myöhäistä soittaa puhelimella / soittimella.	Oo ripnen ylrili ylna visavöö / hööv.
2069	Better late than never.	Parempi myöhään kuin ei milloinkaan.	Hapir ylna il ejna.
2070	Have you ever been to the Far East?	Oletko koskaan ollut Kauko-Idässä?	Ooko ja ejna ooen in Far Tev?
2071	I haven't been here before.	En ole ollut täällä aikaisemmin.	Aj ej oo ooen täla lynapir.
2072	I have never / ever been to Moscow.	En ole joskus / koskaan ollut Moskovassa.	Aj ej oo ösina / aj ooen ejna in Moskov.
2073	At this time, there are always a lot of people here.	Tähän aikaan täällä on aina paljon väkeä.	Täna täla oo kina piri jori.
2074	During the war we lived in St. Petersburg.	Sodan aikana me asuimme Pietarissa.	Na sip ajsi elooen in Petersburg.
2075	It was already dark when we returned home.	Palatessamme kotiin oli jo pimeää.	Na ajsi uut bal ooen ripnen takva.
2076	When it's bright summer nights.	Silloin, kun siellä on valoisat kesäyöt.	Itna, na itla oo katva lakno natsi.
2077	Once in the evening we walked around town.	Kerran illalla me käveltiin kaupungilla.	Isna ennat ajsi vetuuen la taunlo.
2078	DURATION	KESTO	NORI
2079	How long were you in Moscow?	Kuinka kauan olit Moskovassa?	Lunako ja ooen in Moskov?
2080	Have you been here for a long time?	Oletteko ollut täällä jo kauankin?	Ooko jasi ooen täla ripnen luna a?
2081	We've been here for five days.	Olemme olleet jo viisi päivää täällä.	Ajsi oo ooen ripnen fiv tansi täla.
2082	Have you come for a long time?	Oletteko tulleet pitkäksikin aikaa?	Ooko jasi uuten for luva a no?
2083	How long did he travel on a work trip abroad?	Kuinka pitkäksi aikaa hän matkusti työmatkalle ulkomaille?	For kori luna hä rotuuen törotuo nihylsi?
2084	We slept for a long time in the sun.	Makasimme pitkään auringossa.	Ajsi leiooen luna al aurlo.
2085	How long does it take to drive here to the subway?	Kauanko kestää ajaa täältä metrolle?	Lunako noaap katuu täut almoltuvö?
2086	I had to wait more than two hours.	Minun täytyi odottaa yli kaksi tuntia.	Aj piiten obnoo ylli du dinsi.
2087	AGE	IKÄ	JÄNRI
2088	When were you born?	Milloin olette syntynyt?	Kona jasi oo nöee-en?
2089	What year were you born in	Minä vuonna olet syntynyt	Ko jänna oo ja nöee-en?
2090	I was born in 1945/2001.	Olen syntynyt vuonna 1945 / 2001.	Aj oo nöee-en jänna 1945 (disninces kvabasfiv) / 2001 (dudis is).
2091	He was born in 1799.	Hän syntyi vuonna 1799.	Hä nöee-en jänna 1799 (dissevces ninbasnin).
2092	When do you have a birthday?	Koska sinulla on syntymäpäivä?	Kona ja oof nöetan?
2093	in January / March 2 / April 24	tammikuussa / 2. maaliskuuta / 24. huhtikuuta	na ishyn / na 2. (duva) trehyn / na 24. (dubaskvava) kvahyn.
2094	Is your grandfather / father still alive?	Onko isoisäsi / isänne vielä elossa?	Ooko jaof pima / ma pirnen eoli?
2095	Where did he die?	Mihin hän kuoli?	Kointu hä eöönen?
2096	Are your parents still alive?	Elävätkö vanhempanne vielä?	Eeko jasiof mamsi pirnen?
2097	His grandmother lived very long.	Hänen isoäitinsä eli hyvin kauan.	Häof piam ee-en hali luna.
2098	How old is / are you / are you?	Kuinka vanha hän on / sinä olet / te olette?	Kori unva hä oo / ja oo?
2099	I am a 20/41/32/65 years.	Minä olen 20 / 41 / 32 / 65 vuotta.	Aj oo dubas / kvabasis / trebasdu / sikbasfiv jänsi.
2100	How old is your older / younger son / child / daughter?	Kuinka vanha teidän vanhempi / nuorempi poikanne / lapsenne tyttärenne on?	Kori unva oo jasiof unpir / nupir son / ipmäm / nos?
2101	Which of you is younger?	Kumpi teistä on nuorempi?	Dutajko ob jasi oo nupir?
2102	He's a year older than my dad.	Hän on vuotta vanhempi kuin isäni.	Hä oo is jän unpir il ajof ma.
2103	I am older than you	Olen sinua / teitä vanhempi	Aj oo unpir il ja / jasi.
2104	You're one year younger than me.	Olet minua vuoden nuorempi.	Ja oo is jän nupir il aj.
2105	We are the same age.	Olemme samanikäisiä.	Ajsi oo rejänriva.
2106	She looks younger than her age.	Hän näyttää ikäänsä nuoremmalta.	Hä autkaa nupir il häof jänri.
2107	Are your children already adults?	Ovatko lapsenne jo aikuisia?	Ooko jasiof ipmämsi ripnen fuljosi?
2108	Adults often forget that they themselves were children.	Aikuiset unohtavat usein, että itse ovat olleet lapsia.	Fuljosi öösen sina, syt häsi aut oo ooen ipmämsi.
2109	He learned to skate already in childhood.	Hän opetteli luistelemaan jo lapsuudessaan.	Hä siapdaaven rougliuu ripnen häof ipmämna
2110	At your age, I couldn't speak any language.	Sinun iässäsi en osannut yhtään kieltä.	Na jaof jänri aj davooen ejö vosa.
2111	He is a youth representative.	Hän on nuorison edustaja.	Hä oo nujosio sieedjo.
2112	There are a lot of young people here.	Täällä on paljon nuoria.	Täla oo siri nujosi.
2113	A young man sat next to us / came to us.	Vieressämme istui / luoksemme tuli nuori mies.	Sidvi ajsi siiten / tu jasi uuten nuva mä.
2114	Young man, come here!	Nuori mies, tulkaahan tänne!	Nuva mä, uut a ja täle.
2115	An elderly man lives with his wife in the countryside.	Vanhus asuu eukkonsa kanssa maaseudulla.	Unjo eloo vi häof viäm la nuatlo.
2116	The older generation still remembers that time well.	Vanhempi sukupolvi muistaa vielä hyvin sen ajan.	Unpir cejlyl söö pirnen hali it no.
2117	REITERATION	TOISTO	DUTE
2118	Are you here for the first time?	Oletteko te ensimmäistä kertaa täällä?	Ooko jasi isva isno täla?
2119	How many times have you been here?	Monettako kertaa te olette täällä?	Sivako isno oo jasi täla?
2120	We will come here many more times.	Tulemme tänne vielä monta kertaa.	Ajsi uutne täle pirnen si isnosi.
2121	I'm hearing this for the first time.	Kuulen tästä ensimmäistä kertaa.	Aj vohöö öb tä isva isno.
2122	I promise it was the last time.	Lupaan, että se oli viimeinen kerta.	Aj sapöfaa, syt it ooen önva isno.
2123	I hope I come again to St. Petersburg.	Toivon, että tulen vielä uudelleen käymään Pietarissa.	Aj neraa, syt aj uttuune pirnen novli in Petersburg.
2124	He comes here often.	Hän käy täällä usein.	Hä uttuu täla sina.
2125	Now it's your turn.	Nyt on Teidän vuoronne.	Nen oo Jasiof altno.
2126	He regularly attends all meetings.	Hän käy säännöllisesti kaikissa kokouksissa.	Hä uttuu regli in ki visahäpsi.
2127	We get together / Buses run quite often.	Kokoonnumme yhteen / Bussit kulkevat aika usein.	Ajsi relotuu tuisvi / Siotuvösi tuut rafli sina.
2128	The rain started again.	Sade alkoi uudestaan.	Vamly nööen novli.
2129	It rarely happens that he would not forget anything.	Sattuu harvoin, että hän ei unohtaisi mitään.	Saat hitna, syt hä ej öösenif ö.
2130	So happens now and then.	Niin tapahtuu silloin tällöin.	Itli hääp itna täna.
2131	STARTING, ENDING	ALKAMINEN, PÄÄTTYMINEN	NÖÖTE, ÖÖNTE
2132	When did the congress begin.	Milloin kongressi alkoi.	Kona edpösio nööen?
2133	It starts on the first of January / the 10th of July.	Se alkaa ensimmäisenä tammikuuta / kymmenentenä heinäkuuta.	It nöö na isva ishyn / basva sevhyn.
2134	Finally, spring has come.	Vihdoinkin kevät on tullut.	Önnen a enlakno oo uuten.
2135	The child fell and began to cry.	Lapsi kaatui ja rupesi itkemään.	Ipmäm keiien a nööen eeh.
2136	It's time to get started / go to bed.	On aika ruveta / mennä nukkumaan.	Oo no nöö / tuu nuuk.
2137	The meeting is coming to an end.	Kokous lähestyy loppuaan.	Visahäp rafpiir itof ön.
2138	The show ended early.	Näytös päättyi aikaisin.	Tekao öönen lyna.
2139	This can end badly.	Tämä voi päättyä huonosti.	Tä meej öön ahvoli.
2140	Stop it! You wake everyone up!	Lopettakaa! Herätätte kaikki!	Teöön jasi! Jasi teönnuuk ki!
